City,group
Qitaihe,Non-hub & Undeve.
Wanning,Non-hub & Undeve.
Sanya,Non-hub & Deve.
Sanming,Non-hub & Undeve.
Sanmenxia,Non-hub & Undeve.
Shanghai,Hub & Deve.
Shangrao,Hub & Deve.
Dongfang,Non-hub & Undeve.
Dongguan,Hub & Deve.
Dongying,Non-hub & Undeve.
Zhongwei,Non-hub & Undeve.
Zhongshan,Hub & Deve.
Linxia,Non-hub & Undeve.
Linfen,Non-hub & Undeve.
Linyi,Hub & Deve.
Lincang,Non-hub & Undeve.
Lingao,Non-hub & Undeve.
Dandong,Non-hub & Undeve.
Lishui,Non-hub & Undeve.
Lijiang,Non-hub & Undeve.
Ulanqab,Non-hub & Undeve.
Wuhai,Non-hub & Undeve.
Urumqi,Non-hub & Deve.
Ledong,Non-hub & Undeve.
Leshan,Non-hub & Undeve.
Jiujiang,Hub & Deve.
Yunfu,Non-hub & Undeve.
Wujiaqu,Non-hub & Undeve.
Wuzhishan,Non-hub & Undeve.
Bozhou,Non-hub & Undeve.
Xiantao,Hub & Undeve.
Yichun,Non-hub & Undeve.
Ili,Non-hub & Undeve.
Foshan,Hub & Deve.
Jiamusi,Non-hub & Undeve.
Baoting,Non-hub & Undeve.
Baoding,Hub & Deve.
Baoshan,Non-hub & Undeve.
Xinyang,Hub & Deve.
Danzhou,Non-hub & Undeve.
Kizilsu,Non-hub & Undeve.
Karamay,Non-hub & Undeve.
Lu'an,Non-hub & Deve.
Liupanshui,Non-hub & Undeve.
Lanzhou,Hub & Deve.
Xingan,Non-hub & Undeve.
Neijiang,Hub & Undeve.
Liangshan,Non-hub & Undeve.
Baotou,Non-hub & Undeve.
Beijing,Hub & Deve.
Beitun,Non-hub & Undeve.
Beihai,Non-hub & Undeve.
Shiyan,Non-hub & Undeve.
Nanjing,Hub & Deve.
Nanchong,Non-hub & Deve.
Nanning,Non-hub & Deve.
Nanping,Non-hub & Undeve.
Nanchang,Hub & Deve.
Nantong,Non-hub & Deve.
Nanyang,Hub & Deve.
Bortala,Non-hub & Undeve.
Xiamen,Hub & Deve.
Shuanghe,Non-hub & Undeve.
Shuangyashan,Non-hub & Undeve.
Kekedala,Non-hub & Undeve.
Taizhou,Non-hub & Deve.
Hefei,Hub & Deve.
Ji'an,Non-hub & Undeve.
Jilin,Non-hub & Undeve.
Turpan,Non-hub & Undeve.
Lvliang,Non-hub & Undeve.
Wuzhong,Non-hub & Undeve.
Zhoukou,Non-hub & Deve.
Hulunbuir,Non-hub & Undeve.
Hohhot,Non-hub & Deve.
Hotan,Non-hub & Undeve.
Xianning,Hub & Undeve.
Xianyang,Hub & Deve.
Hami,Non-hub & Undeve.
Harbin,Non-hub & Deve.
Tangshan,Hub & Deve.
Shangqiu,Non-hub & Deve.
Shangluo,Non-hub & Undeve.
Kashgar,Non-hub & Undeve.
Jiaxing,Hub & Deve.
Jiayuguan,Non-hub & Undeve.
Siping,Hub & Undeve.
Guyuan,Non-hub & Undeve.
Tumushuke,Non-hub & Undeve.
Tacheng,Non-hub & Undeve.
Daxing'anling,Non-hub & Undeve.
Datong,Non-hub & Undeve.
Daqing,Non-hub & Deve.
Dali,Non-hub & Undeve.
Dalian,Non-hub & Deve.
Tianshui,Non-hub & Undeve.
Tianjin,Hub & Deve.
Tianmen,Non-hub & Undeve.
Taiyuan,Non-hub & Deve.
Weihai,Non-hub & Deve.
Loudi,Non-hub & Undeve.
Xiaogan,Hub & Undeve.
Ningde,Non-hub & Deve.
Ningbo,Non-hub & Deve.
Anqing,Hub & Deve.
Ankang,Non-hub & Undeve.
Anyang,Hub & Undeve.
Anshun,Non-hub & Undeve.
Ding'an,Non-hub & Undeve.
Dingxi,Hub & Undeve.
Yibin,Non-hub & Undeve.
Yichang,Non-hub & Deve.
Yichun,Hub & Deve.
Baoji,Non-hub & Undeve.
Xuancheng,Non-hub & Undeve.
Suzhou,Hub & Deve.
Suqian,Hub & Deve.
Tunchang,Non-hub & Undeve.
Shannan,Non-hub & Undeve.
Yueyang,Hub & Deve.
Chongzuo,Non-hub & Undeve.
Bazhong,Non-hub & Undeve.
Bayannur,Non-hub & Undeve.
Bayingolin,Non-hub & Undeve.
